"DateTime","Daily PRC"
"2026-04-12 08:31:46",11070
"2026-04-12 08:31:54",11120
"2026-04-12 08:32:06",11132
"2026-04-12 08:32:14",11112
"2026-04-12 08:32:26",11127
"2026-04-12 08:32:34",11127
"2026-04-12 08:32:46",11169
"2026-04-12 08:32:54",11153
"2026-04-12 08:33:06",11133
"2026-04-12 08:33:14",11183
"2026-04-12 08:33:26",11166
"2026-04-12 08:33:34",11166
"2026-04-12 08:33:46",11155
"2026-04-12 08:33:54",11226
"2026-04-12 08:34:06",11203
"2026-04-12 08:34:14",11211
"2026-04-12 08:34:26",11161
"2026-04-12 08:34:34",11161
"2026-04-12 08:34:46",11197
"2026-04-12 08:34:54",11204
"2026-04-12 08:35:06",11206
"2026-04-12 08:35:14",11191
"2026-04-12 08:35:26",11211
"2026-04-12 08:35:34",11211
"2026-04-12 08:35:46",11263
"2026-04-12 08:35:54",11255
"2026-04-12 08:36:06",11203
"2026-04-12 08:36:14",11296
"2026-04-12 08:36:26",11261
"2026-04-12 08:36:34",11261
"2026-04-12 08:36:46",11207
"2026-04-12 08:36:54",11264
"2026-04-12 08:37:06",11256
"2026-04-12 08:37:14",11282
"2026-04-12 08:37:26",11248
"2026-04-12 08:37:34",11248
"2026-04-12 08:37:46",11246
"2026-04-12 08:37:54",11304
"2026-04-12 08:38:06",11287
"2026-04-12 08:38:14",11292
"2026-04-12 08:38:26",11305
"2026-04-12 08:38:34",11305
"2026-04-12 08:38:46",11308
"2026-04-12 08:38:54",11351
"2026-04-12 08:39:06",11288
"2026-04-12 08:39:14",11239
"2026-04-12 08:39:26",11340
"2026-04-12 08:39:34",11340
"2026-04-12 08:39:46",11310
"2026-04-12 08:39:54",11305
"2026-04-12 08:40:06",11239
"2026-04-12 08:40:14",11224
"2026-04-12 08:40:26",11181
"2026-04-12 08:40:34",11181
"2026-04-12 08:40:46",11201
"2026-04-12 08:40:54",11186
"2026-04-12 08:41:06",11191
"2026-04-12 08:41:14",11222
"2026-04-12 08:41:26",11199
"2026-04-12 08:41:34",11199
"2026-04-12 08:41:46",11160
"2026-04-12 08:41:54",11223
"2026-04-12 08:42:06",11270
"2026-04-12 08:42:14",11244
"2026-04-12 08:42:26",11269
"2026-04-12 08:42:34",11269
"2026-04-12 08:42:46",11254
"2026-04-12 08:42:54",11244
"2026-04-12 08:43:06",11238
"2026-04-12 08:43:14",11195
"2026-04-12 08:43:26",11280
"2026-04-12 08:43:34",11280
"2026-04-12 08:43:46",11216
"2026-04-12 08:43:54",11270
"2026-04-12 08:44:06",11171
"2026-04-12 08:44:14",11223
"2026-04-12 08:44:26",11206
"2026-04-12 08:44:34",11206
"2026-04-12 08:44:46",11244
"2026-04-12 08:44:54",11166
"2026-04-12 08:45:06",11253
"2026-04-12 08:45:14",11179
"2026-04-12 08:45:26",11244
"2026-04-12 08:45:34",11244
"2026-04-12 08:45:46",11243
"2026-04-12 08:45:54",11249
"2026-04-12 08:46:06",11184
"2026-04-12 08:46:14",11220
"2026-04-12 08:46:26",11161
"2026-04-12 08:46:34",11161
"2026-04-12 08:46:46",11167
"2026-04-12 08:46:54",11206
"2026-04-12 08:47:06",11266
"2026-04-12 08:47:14",11243
"2026-04-12 08:47:26",11161
"2026-04-12 08:47:34",11161
"2026-04-12 08:47:46",11172
"2026-04-12 08:47:54",11227
"2026-04-12 08:48:06",11198
"2026-04-12 08:48:14",11186
"2026-04-12 08:48:26",11214
"2026-04-12 08:48:34",11214
"2026-04-12 08:48:46",11164
"2026-04-12 08:48:54",11184
